time;p_scr
2026-03-21T22:48:47.090933;0.0
2026-03-21T22:49:31.278058;0.0
2026-03-21T22:50:25.208785;0.0
2026-03-21T22:51:01.654298;0.0
2026-03-21T22:51:25.757923;0.0
2026-03-21T22:53:53.201118;0.0
2026-03-23T18:32:50.453404;0.0216
2026-03-23T18:33:59.154621;0.01
2026-03-23T18:34:50.084474;0.0046
2026-03-24T15:46:18.306294;0.0006
2026-03-24T15:46:52.879696;0.0002
2026-03-24T15:48:23.623471;0.9937
2026-03-25T16:52:48.647520;0.079
2026-03-26T13:09:00.997392;0.0
2026-03-27T21:51:59.966912;0.0
2026-03-27T21:52:09.796093;0.9983
2026-04-08T19:26:55.973187;0.0
2026-04-08T19:27:04.312620;0.999
2026-05-12T17:29:33.318803;0.0
2026-05-12T17:33:13.827451;0.9796
2026-05-20T16:46:00.733208;0.0
2026-05-24T00:22:45.835317;0.0012
2026-05-24T00:25:42.967336;0.9876
