time;p_scr
2026-03-17T19:13:33.193665;0.1924
2026-03-19T15:00:38.274891;0.0259
2026-03-19T15:01:46.377127;0.0164
2026-03-19T23:17:18.552091;0.008
2026-03-19T23:17:48.860885;0.0049
2026-03-19T23:19:15.509914;0.9956
2026-03-24T15:47:28.695074;0.0137
2026-03-25T16:51:09.438656;0.0064
2026-03-25T16:52:10.247448;0.0042
2026-03-25T18:40:20.255459;0.0
2026-03-25T18:41:33.938748;0.0
2026-03-26T13:13:10.902900;0.0004
2026-03-27T21:36:55.496286;0.0
2026-03-27T21:37:21.815849;0.9951
2026-04-02T18:02:55.759699;0.0
2026-04-05T17:56:23.681780;0.0
2026-04-05T17:57:37.896470;0.0
2026-04-05T17:57:52.320478;0.9975
2026-04-30T20:04:42.729101;0.0
2026-04-30T20:04:53.571960;0.0
2026-05-01T20:59:39.193618;0.0004
2026-05-01T20:59:56.938606;0.0002
2026-05-01T21:00:52.012721;0.9913
