time;p_scr
2026-03-21T22:48:39.654599;0.0012
2026-03-21T22:48:52.086147;0.0007
2026-03-21T22:50:45.748108;0.0004
2026-03-21T22:51:19.271330;0.0002
2026-03-21T22:52:13.173088;0.9963
2026-03-27T21:40:58.219184;0.0
2026-03-27T21:41:44.228221;0.0
2026-03-27T21:46:12.853524;0.9449
2026-04-07T19:29:02.958094;0.0
2026-04-08T19:24:12.812960;0.0
2026-04-08T19:24:43.389841;0.0
2026-04-08T19:24:50.437765;0.9986
2026-05-01T20:59:21.209330;0.0
2026-05-01T20:59:27.970490;0.0
2026-05-01T20:59:46.665480;0.9967
